instrument_key,instrument_name,strike_price,side,bid/ask,margin_required,premium_earned
NSE_FO|42853,NSE_INDEX|Nifty 50,22450.0,CE,1943.25,469489.9,194325.0
NSE_FO|42854,NSE_INDEX|Nifty 50,22450.0,PE,33.0,141053.7,3300.0
NSE_FO|42855,NSE_INDEX|Nifty 50,22500.0,CE,1900.65,465800.7,190065.0
NSE_FO|42856,NSE_INDEX|Nifty 50,22500.0,PE,35.65,142996.6,3565.0
NSE_FO|42857,NSE_INDEX|Nifty 50,22550.0,CE,1898.8,459538.7,189880.0
NSE_FO|42860,NSE_INDEX|Nifty 50,22550.0,PE,24.85,141490.7,2485.0
NSE_FO|42865,NSE_INDEX|Nifty 50,22600.0,CE,1847.35,457961.7,184735.0
NSE_FO|42866,NSE_INDEX|Nifty 50,22600.0,PE,25.7,143245.7,2570.0
NSE_FO|42867,NSE_INDEX|Nifty 50,22650.0,CE,1800.95,449383.7,180095.0
NSE_FO|42868,NSE_INDEX|Nifty 50,22650.0,PE,42.05,148728.2,4205.0
NSE_FO|42877,NSE_INDEX|Nifty 50,22700.0,CE,1746.4,447761.8,174640.0
NSE_FO|42878,NSE_INDEX|Nifty 50,22700.0,PE,46.85,150797.6,4685.0
NSE_FO|42879,NSE_INDEX|Nifty 50,22750.0,CE,1707.35,442697.5,170735.0
NSE_FO|42880,NSE_INDEX|Nifty 50,22750.0,PE,29.25,148661.7,2925.0
NSE_FO|42881,NSE_INDEX|Nifty 50,22800.0,CE,1657.7,437284.0,165770.0
NSE_FO|42882,NSE_INDEX|Nifty 50,22800.0,PE,52.55,154692.6,5255.0
NSE_FO|42883,NSE_INDEX|Nifty 50,22850.0,CE,1613.15,428978.7,161315.0
NSE_FO|42884,NSE_INDEX|Nifty 50,22850.0,PE,32.5,152148.7,3250.0
NSE_FO|42886,NSE_INDEX|Nifty 50,22900.0,CE,1566.0,427378.7,156600.0
NSE_FO|42888,NSE_INDEX|Nifty 50,22900.0,PE,60.85,158797.0,6085.0
NSE_FO|42889,NSE_INDEX|Nifty 50,22950.0,CE,1520.15,418731.7,152015.0
NSE_FO|42890,NSE_INDEX|Nifty 50,22950.0,PE,36.75,155783.7,3675.0
NSE_FO|42891,NSE_INDEX|Nifty 50,23000.0,CE,1437.25,416316.4,143725.0
NSE_FO|42892,NSE_INDEX|Nifty 50,23000.0,PE,70.05,162981.7,7005.0
NSE_FO|42897,NSE_INDEX|Nifty 50,23050.0,CE,1428.45,412967.3,142845.0
NSE_FO|42898,NSE_INDEX|Nifty 50,23050.0,PE,74.5,164927.8,7450.0
NSE_FO|42899,NSE_INDEX|Nifty 50,23100.0,CE,1365.8,406001.7,136580.0
NSE_FO|42900,NSE_INDEX|Nifty 50,23100.0,PE,80.0,167063.7,8000.0
NSE_FO|42901,NSE_INDEX|Nifty 50,23150.0,CE,1338.2,402487.6,133820.0
NSE_FO|42902,NSE_INDEX|Nifty 50,23150.0,PE,85.7,169099.6,8570.0
NSE_FO|42905,NSE_INDEX|Nifty 50,23200.0,CE,1269.4,397587.1,126940.00000000001
NSE_FO|42906,NSE_INDEX|Nifty 50,23200.0,PE,93.05,171478.6,9305.0
NSE_FO|42907,NSE_INDEX|Nifty 50,23250.0,CE,1237.35,391996.2,123734.99999999999
NSE_FO|42908,NSE_INDEX|Nifty 50,23250.0,PE,98.0,173391.6,9800.0
